Model,Seed,Concept,Prevalence,AUROC,F1,Precision,Recall
B6_PureCBM,42,Pigment Network,0.2434210479259491,0.6599294947121034,0.38,0.30158730158730157,0.5135135135135135
B6_PureCBM,42,Streaks,0.20394736528396606,0.6862170087976539,0.40404040404040403,0.29411764705882354,0.6451612903225806
B6_PureCBM,42,Pigmentation,0.30921053886413574,0.7264437689969605,0.5084745762711864,0.4225352112676056,0.6382978723404256
B6_PureCBM,42,Regression Structures,0.22368420660495758,0.71061814556331,0.4329896907216495,0.3333333333333333,0.6176470588235294
B6_PureCBM,42,Dots & Globules,0.4013157784938812,0.6472707620248603,0.5909090909090909,0.5492957746478874,0.639344262295082
B6_PureCBM,42,Blue-whitish Veil,0.16447368264198303,0.7896062992125984,0.49382716049382713,0.35714285714285715,0.8
B6_PureCBM,42,Vascular Structures,0.07236842066049576,0.8059316569954869,0.2978723404255319,0.19444444444444445,0.6363636363636364
B6_PureCBM,100,Pigment Network,0.2434210479259491,0.8218566392479436,0.5454545454545454,0.6206896551724138,0.4864864864864865
B6_PureCBM,100,Streaks,0.20394736528396606,0.8328445747800587,0.5396825396825397,0.53125,0.5483870967741935
B6_PureCBM,100,Pigmentation,0.30921053886413574,0.7985815602836879,0.5652173913043478,0.5777777777777777,0.5531914893617021
B6_PureCBM,100,Regression Structures,0.22368420660495758,0.7609670987038882,0.4418604651162791,0.36538461538461536,0.5588235294117647
B6_PureCBM,100,Dots & Globules,0.4013157784938812,0.789947757160872,0.6554621848739496,0.6724137931034483,0.639344262295082
B6_PureCBM,100,Blue-whitish Veil,0.16447368264198303,0.8664566929133858,0.5625,0.46153846153846156,0.72
B6_PureCBM,100,Vascular Structures,0.07236842066049576,0.854287556415216,0.5454545454545454,0.5454545454545454,0.5454545454545454
B6_PureCBM,2026,Pigment Network,0.2434210479259491,0.8164512338425383,0.5588235294117647,0.6129032258064516,0.5135135135135135
B6_PureCBM,2026,Streaks,0.20394736528396606,0.8928285790455879,0.5757575757575758,0.5428571428571428,0.6129032258064516
B6_PureCBM,2026,Pigmentation,0.30921053886413574,0.7335359675785207,0.5192307692307693,0.47368421052631576,0.574468085106383
B6_PureCBM,2026,Regression Structures,0.22368420660495758,0.793369890329013,0.5074626865671642,0.5151515151515151,0.5
B6_PureCBM,2026,Dots & Globules,0.4013157784938812,0.7852639164114573,0.6821705426356589,0.6470588235294118,0.7213114754098361
B6_PureCBM,2026,Blue-whitish Veil,0.16447368264198303,0.8900787401574803,0.6229508196721312,0.5277777777777778,0.76
B6_PureCBM,2026,Vascular Structures,0.07236842066049576,0.8600902643455836,0.42857142857142855,0.35294117647058826,0.5454545454545454
Proposed_Hybrid,42,Pigment Network,0.2434210479259491,0.8524089306698003,0.5806451612903226,0.72,0.4864864864864865
Proposed_Hybrid,42,Streaks,0.20394736528396606,0.9034924020261264,0.6764705882352942,0.6216216216216216,0.7419354838709677
Proposed_Hybrid,42,Pigmentation,0.30921053886413574,0.8074974670719353,0.6185567010309279,0.6,0.6382978723404256
Proposed_Hybrid,42,Regression Structures,0.22368420660495758,0.864406779661017,0.6086956521739131,0.6,0.6176470588235294
Proposed_Hybrid,42,Dots & Globules,0.4013157784938812,0.8528193118357053,0.6956521739130435,0.7407407407407407,0.6557377049180327
Proposed_Hybrid,42,Blue-whitish Veil,0.16447368264198303,0.8834645669291339,0.5098039215686274,0.5,0.52
Proposed_Hybrid,42,Vascular Structures,0.07236842066049576,0.822695035460993,0.30303030303030304,0.22727272727272727,0.45454545454545453
Proposed_Hybrid,100,Pigment Network,0.2434210479259491,0.827732079905993,0.5217391304347826,0.5625,0.4864864864864865
Proposed_Hybrid,100,Streaks,0.20394736528396606,0.8800319914689416,0.6129032258064516,0.6129032258064516,0.6129032258064516
Proposed_Hybrid,100,Pigmentation,0.30921053886413574,0.8172239108409322,0.5681818181818182,0.6097560975609756,0.5319148936170213
Proposed_Hybrid,100,Regression Structures,0.22368420660495758,0.8626620139581257,0.6176470588235294,0.6176470588235294,0.6176470588235294
Proposed_Hybrid,100,Dots & Globules,0.4013157784938812,0.8317420284633399,0.6890756302521008,0.7068965517241379,0.6721311475409836
Proposed_Hybrid,100,Blue-whitish Veil,0.16447368264198303,0.8560629921259842,0.5882352941176471,0.5769230769230769,0.6
Proposed_Hybrid,100,Vascular Structures,0.07236842066049576,0.8549323017408124,0.45454545454545453,0.45454545454545453,0.45454545454545453
Proposed_Hybrid,2026,Pigment Network,0.2434210479259491,0.8054054054054054,0.5084745762711864,0.6818181818181818,0.40540540540540543
Proposed_Hybrid,2026,Streaks,0.20394736528396606,0.8784324180218608,0.6071428571428571,0.68,0.5483870967741935
Proposed_Hybrid,2026,Pigmentation,0.30921053886413574,0.7878419452887537,0.47619047619047616,0.5405405405405406,0.425531914893617
Proposed_Hybrid,2026,Regression Structures,0.22368420660495758,0.8492023928215353,0.6470588235294118,0.6470588235294118,0.6470588235294118
Proposed_Hybrid,2026,Dots & Globules,0.4013157784938812,0.7982345523329131,0.6551724137931034,0.6909090909090909,0.6229508196721312
Proposed_Hybrid,2026,Blue-whitish Veil,0.16447368264198303,0.8541732283464567,0.5,0.48148148148148145,0.52
Proposed_Hybrid,2026,Vascular Structures,0.07236842066049576,0.8272082527401676,0.3333333333333333,0.24,0.5454545454545454
